dataset,seed,metodo,acuracia,precisao,recall,f1_score,tempo,best_params
Breast Cancer,5,RandomSearch,0.956140350877193,1.0,0.8809523809523809,0.9367088607594937,0.23423528671264648,"{'C': 145.28246637516034, 'gamma': 0.0011526449540315616}"
Breast Cancer,5,BayesianOptimization,0.9824561403508771,1.0,0.9523809523809523,0.975609756097561,2.328491449356079,"{'C': 74.92383819216293, 'gamma': 0.005088445859091726}"
Titanic,5,GridSearch,0.8379888268156425,0.9347826086956522,0.6231884057971014,0.7478260869565218,0.7789340019226074,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Titanic,5,RandomSearch,0.8324022346368715,0.8823529411764706,0.6521739130434783,0.75,0.4280412197113037,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Titanic,5,BayesianOptimization,0.8379888268156425,0.9347826086956522,0.6231884057971014,0.7478260869565218,2.2010653018951416,"{'C': 358.98170791134794, 'gamma': 0.008862058547054713}"
Water Potability,5,GridSearch,0.6722560975609756,0.7662337662337663,0.23046875,0.35435435435435436,7.909440517425537,"{'C': np.float64(0.464158883361278), 'gamma': np.float64(0.21544346900318845)}"
Water Potability,5,RandomSearch,0.6646341463414634,0.86,0.16796875,0.28104575163398693,6.125321626663208,"{'C': 0.3320559103751957, 'gamma': 0.0420515645091387}"
Water Potability,5,BayesianOptimization,0.6798780487804879,0.7053571428571429,0.30859375,0.42934782608695654,14.118733406066895,"{'C': 142.49589727682053, 'gamma': 0.013500630389466759}"
Employee,5,GridSearch,0.8442534908700322,0.8820960698689956,0.63125,0.7358834244080146,20.302742958068848,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Employee,5,RandomSearch,0.8517722878625135,0.85,0.690625,0.7620689655172413,9.14370608329773,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Employee,5,BayesianOptimization,0.8539205155746509,0.8801652892561983,0.665625,0.7580071174377224,37.87291169166565,"{'C': 104.5787416490779, 'gamma': 0.030874610632520897}"
Weather,5,GridSearch,0.856,0.7508196721311475,0.5192743764172335,0.613941018766756,109.11864972114563,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.0001)}"
Weather,5,RandomSearch,0.8595,0.7702702702702703,0.5170068027210885,0.6187245590230664,84.1249635219574,"{'C': 9.16374180877878, 'gamma': 0.00017070728830306646}"
Weather,5,BayesianOptimization,0.8585,0.7724137931034483,0.5079365079365079,0.612859097127223,63.369511127471924,"{'C': 11.435780278433413, 'gamma': 0.0001084754664013074}"
Breast Cancer,6,GridSearch,0.9649122807017544,0.975,0.9285714285714286,0.9512195121951219,0.30510592460632324,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.004641588833612782)}"
Breast Cancer,6,RandomSearch,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,0.22749876976013184,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Breast Cancer,6,BayesianOptimization,0.9736842105263158,0.9534883720930233,0.9761904761904762,0.9647058823529412,1.9876270294189453,"{'C': 79.15074397656232, 'gamma': 0.0964385761594144}"
Titanic,6,GridSearch,0.8044692737430168,0.84,0.6086956521739131,0.7058823529411765,0.9509665966033936,"{'C': np.float64(0.464158883361278), 'gamma': np.float64(0.21544346900318845)}"
Titanic,6,RandomSearch,0.8156424581005587,0.8333333333333334,0.6521739130434783,0.7317073170731707,0.42122578620910645,"{'C': 0.3320559103751957, 'gamma': 0.0420515645091387}"
Titanic,6,BayesianOptimization,0.7988826815642458,0.8235294117647058,0.6086956521739131,0.7,2.4656131267547607,"{'C': 79.15074397656232, 'gamma': 0.0964385761594144}"
Water Potability,6,GridSearch,0.6798780487804879,0.7254901960784313,0.2890625,0.4134078212290503,7.93326997756958,"{'C': np.float64(1000.0), 'gamma': np.float64(0.004641588833612782)}"
Water Potability,6,RandomSearch,0.6935975609756098,0.6233183856502242,0.54296875,0.5803757828810021,6.0962231159210205,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Water Potability,6,BayesianOptimization,0.6920731707317073,0.6285714285714286,0.515625,0.5665236051502146,13.363542795181274,"{'C': 33.609582191920516, 'gamma': 0.0906357634969931}"
Employee,6,GridSearch,0.8442534908700322,0.8378378378378378,0.678125,0.7495682210708118,20.445119857788086,"{'C': np.float64(21.544346900318846), 'gamma': np.float64(0.21544346900318845)}"
Employee,6,RandomSearch,0.8464017185821697,0.8554216867469879,0.665625,0.7486818980667839,9.237431526184082,"{'C': 45.70563099801451, 'gamma': 0.09846738873614563}"
Employee,6,BayesianOptimization,0.8549946294307197,0.8838174273858921,0.665625,0.7593582887700535,37.96789908409119,"{'C': 1000.0, 'gamma': 0.02318287622838326}"
Weather,6,GridSearch,0.868,0.7827476038338658,0.5555555555555556,0.649867374005305,108.455233335495,"{'C': np.float64(1000.0), 'gamma': np.float64(0.0001)}"
